Model,Brand,OS_Version,Screen_Size_Inches,Battery_mAh,RAM_GB,Storage_GB,Rear_Camera_MP,Front_Camera_MP,Processor,Refresh_Rate_Hz,Connectivity,Face_Unlock,Fingerprint_Sensor,Dual_SIM,Warranty,Screen_Type,Charging_Port,Fast_Charging,Body_Material,Weight_g,Thickness_mm,Price_Category
XIA-177,Xiaomi,iOS 15,6.05,4700,3,512,92,25,Kirin,120,4G,No,Yes,No,1 Year,AMOLED,Lightning,No,Glass,223,7.8,Medium
VIV-240,Vivo,iOS 15,5.62,6000,6,128,92,20,Exynos,120,5G,No,No,No,1 Year,OLED,Type-C,No,Plastic,141,7.4,High
VIV-201,Vivo,Android 10,6.88,3300,6,512,84,35,Apple Bionic,90,5G,No,Yes,Yes,2 Years,AMOLED,Lightning,No,Plastic,236,7.8,Very High
SAM-271,Samsung,iOS 14,5.23,5600,8,128,36,30,Snapdragon,120,4G,Yes,Yes,Yes,No Warranty,AMOLED,Lightning,No,Plastic,179,6.8,Medium
XIA-465,Xiaomi,iOS 14,6.98,4900,2,128,60,5,Exynos,120,4G,No,No,Yes,No Warranty,IPS,Lightning,Yes,Metal,193,8.8,High
APP-790,Apple,iOS 14,6.8,3100,6,256,44,30,Kirin,90,4G,No,Yes,No,2 Years,LCD,Micro-USB,Yes,Metal,149,7.6,Low
VIV-301,Vivo,iOS 15,5.12,3200,6,512,84,25,MediaTek,120,4G,No,Yes,No,1 Year,LCD,Lightning,Yes,Glass,179,9.1,Low
SAM-163,Samsung,Android 12,5.36,3500,8,128,84,25,Exynos,120,5G,Yes,Yes,Yes,1 Year,OLED,Lightning,No,Glass,161,7.3,High
HUA-310,Huawei,Android 12,6.75,4600,12,256,44,15,MediaTek,60,5G,No,Yes,Yes,1 Year,LCD,Micro-USB,No,Glass,188,8.5,Low
APP-256,Apple,Android 11,6.65,4000,12,512,36,5,Kirin,60,5G,No,No,No,No Warranty,IPS,Type-C,No,Glass,149,6.9,Medium
REA-615,Realme,iOS 14,6.58,5200,8,128,96,35,MediaTek,90,5G,Yes,No,Yes,No Warranty,LCD,Lightning,No,Plastic,174,7.2,High
TEC-434,Tecno,Android 11,5.7,5900,12,64,80,10,MediaTek,60,5G,Yes,No,Yes,No Warranty,IPS,Micro-USB,No,Glass,220,9.4,High
SAM-345,Samsung,iOS 14,6.94,5200,4,256,8,30,Exynos,144,4G,Yes,Yes,No,1 Year,LCD,Type-C,Yes,Metal,183,9.3,Low
OPP-972,Oppo,iOS 14,5.73,5800,12,256,80,10,Exynos,90,4G,No,No,Yes,2 Years,IPS,Micro-USB,No,Metal,174,7.0,Medium
TEC-630,Tecno,Android 11,5.11,3100,3,512,48,40,Apple Bionic,90,4G,Yes,Yes,Yes,2 Years,LCD,Type-C,Yes,Metal,182,7.7,High
HUA-590,Huawei,iOS 15,5.77,3400,2,32,104,35,Exynos,90,5G,No,No,Yes,1 Year,OLED,Micro-USB,Yes,Plastic,155,9.3,Very High
XIA-371,Xiaomi,Android 11,5.62,4300,3,512,36,25,Snapdragon,144,5G,No,Yes,Yes,1 Year,AMOLED,Micro-USB,Yes,Glass,165,6.5,Medium
REA-482,Realme,Android 11,6.47,5500,2,128,28,10,Exynos,144,5G,Yes,No,No,2 Years,AMOLED,Lightning,Yes,Metal,153,9.0,Medium
XIA-216,Xiaomi,Android 11,6.82,4600,6,512,64,10,Kirin,120,5G,Yes,Yes,No,2 Years,IPS,Lightning,Yes,Glass,174,7.2,Very High
TEC-853,Tecno,iOS 14,5.41,4900,2,256,100,20,MediaTek,90,5G,No,No,Yes,1 Year,OLED,Type-C,No,Glass,166,9.2,Very High
REA-663,Realme,Android 12,5.64,3500,8,128,32,30,MediaTek,120,4G,No,No,No,1 Year,LCD,Micro-USB,Yes,Plastic,195,6.9,Low
SAM-453,Samsung,iOS 14,6.46,5700,12,32,104,25,Exynos,144,4G,Yes,No,No,1 Year,LCD,Type-C,Yes,Glass,143,8.7,Very High
VIV-556,Vivo,Android 11,5.11,5400,8,64,84,40,Snapdragon,144,4G,Yes,Yes,Yes,1 Year,AMOLED,Micro-USB,Yes,Glass,226,8.2,High
OPP-282,Oppo,Android 11,6.75,3800,12,128,44,30,Kirin,120,4G,Yes,No,No,1 Year,IPS,Lightning,Yes,Glass,208,9.4,Medium
INF-480,Infinix,iOS 15,6.92,4600,3,512,52,30,Kirin,60,4G,No,No,Yes,2 Years,AMOLED,Micro-USB,Yes,Plastic,151,8.4,Low
REA-559,Realme,Android 10,6.03,4500,4,256,92,10,Kirin,144,4G,Yes,No,Yes,No Warranty,LCD,Micro-USB,No,Glass,121,6.7,Very High
OPP-837,Oppo,Android 11,5.77,5500,12,64,84,20,MediaTek,90,4G,Yes,Yes,No,1 Year,LCD,Lightning,No,Metal,218,8.0,High
INF-870,Infinix,Android 10,5.21,4600,3,128,56,15,MediaTek,120,4G,Yes,No,Yes,2 Years,IPS,Type-C,Yes,Metal,195,9.1,High
APP-857,Apple,iOS 15,5.92,5700,2,64,36,30,Apple Bionic,144,4G,No,No,No,No Warranty,LCD,Micro-USB,No,Glass,218,8.2,Medium
XIA-560,Xiaomi,iOS 14,6.41,5700,2,32,40,15,MediaTek,90,4G,No,Yes,No,2 Years,LCD,Type-C,No,Plastic,226,7.4,Medium
VIV-644,Vivo,Android 12,6.87,4900,6,64,44,35,Apple Bionic,60,5G,No,No,No,No Warranty,AMOLED,Micro-USB,Yes,Plastic,172,7.5,Medium
INF-713,Infinix,Android 12,6.82,4200,2,64,100,20,Snapdragon,90,5G,Yes,No,No,1 Year,OLED,Micro-USB,No,Glass,221,8.1,Very High
XIA-853,Xiaomi,Android 11,5.46,3000,8,32,24,20,Snapdragon,90,4G,No,Yes,Yes,2 Years,OLED,Micro-USB,No,Plastic,152,9.2,Medium
VIV-263,Vivo,iOS 14,6.23,4200,2,64,64,15,Apple Bionic,90,5G,Yes,Yes,No,2 Years,OLED,Type-C,No,Plastic,151,8.2,Low
XIA-482,Xiaomi,Android 12,6.67,3100,6,32,32,30,Exynos,144,5G,Yes,No,No,No Warranty,OLED,Lightning,No,Plastic,156,8.5,Very High
SAM-905,Samsung,Android 10,6.19,3300,8,512,40,40,Kirin,90,5G,No,No,No,1 Year,IPS,Lightning,No,Glass,210,7.4,Very High
INF-915,Infinix,iOS 14,5.2,4100,3,32,108,35,Apple Bionic,120,4G,No,Yes,Yes,1 Year,IPS,Type-C,Yes,Glass,181,7.8,High
OPP-819,Oppo,Android 10,6.46,5200,8,512,84,30,MediaTek,120,4G,Yes,No,Yes,2 Years,IPS,Micro-USB,Yes,Plastic,229,7.7,High
OPP-353,Oppo,iOS 15,5.11,3500,6,64,8,10,Snapdragon,120,4G,No,No,No,2 Years,AMOLED,Lightning,No,Plastic,206,8.7,Low
VIV-750,Vivo,Android 10,6.64,3700,2,64,32,20,Apple Bionic,90,4G,No,No,No,No Warranty,AMOLED,Lightning,No,Plastic,219,7.1,High
HUA-692,Huawei,iOS 15,6.81,4400,3,512,108,20,MediaTek,90,5G,No,Yes,No,2 Years,OLED,Micro-USB,No,Plastic,174,7.0,Very High
TEC-899,Tecno,Android 10,6.36,3900,6,512,16,15,Kirin,60,5G,Yes,No,No,1 Year,LCD,Lightning,Yes,Plastic,125,8.2,High
VIV-382,Vivo,Android 10,5.96,5400,6,64,92,25,Snapdragon,60,4G,Yes,No,Yes,No Warranty,LCD,Micro-USB,No,Glass,188,6.7,High
XIA-189,Xiaomi,Android 12,5.6,3900,6,512,40,35,Apple Bionic,60,4G,Yes,Yes,Yes,2 Years,IPS,Type-C,Yes,Plastic,206,7.2,Medium
APP-920,Apple,Android 12,6.65,5800,6,128,64,25,MediaTek,90,4G,Yes,No,No,2 Years,IPS,Type-C,Yes,Glass,141,8.1,Medium
REA-495,Realme,Android 11,6.04,3100,6,32,84,25,Kirin,90,4G,Yes,Yes,Yes,1 Year,IPS,Lightning,No,Glass,122,6.8,Medium
VIV-489,Vivo,iOS 15,6.58,4000,8,128,8,15,MediaTek,90,4G,Yes,No,Yes,No Warranty,OLED,Lightning,No,Plastic,148,7.3,Very High
VIV-769,Vivo,iOS 14,5.97,3800,6,512,24,40,MediaTek,120,4G,Yes,Yes,Yes,2 Years,IPS,Micro-USB,Yes,Metal,134,8.9,Very High
TEC-704,Tecno,iOS 14,6.38,4000,8,32,100,5,Kirin,90,4G,Yes,Yes,Yes,2 Years,LCD,Micro-USB,Yes,Metal,238,7.7,Medium
SAM-519,Samsung,Android 12,5.25,4400,2,512,20,5,Snapdragon,90,4G,No,No,No,No Warranty,IPS,Micro-USB,No,Metal,126,7.3,Medium
APP-111,Apple,Android 10,6.64,5300,8,512,44,20,MediaTek,90,4G,Yes,Yes,No,1 Year,AMOLED,Lightning,Yes,Plastic,138,6.8,High
INF-610,Infinix,iOS 15,6.64,3700,4,128,80,15,Exynos,144,4G,Yes,Yes,No,1 Year,OLED,Lightning,Yes,Plastic,229,8.0,Medium
HUA-547,Huawei,Android 12,6.37,5100,4,128,40,35,Snapdragon,120,5G,No,Yes,Yes,1 Year,AMOLED,Micro-USB,No,Glass,220,8.8,Very High
REA-299,Realme,iOS 14,5.67,5400,3,512,12,40,Kirin,60,5G,Yes,No,Yes,No Warranty,OLED,Type-C,No,Glass,206,7.9,Very High
APP-439,Apple,Android 10,6.98,5300,12,256,88,40,MediaTek,144,4G,Yes,Yes,Yes,No Warranty,OLED,Micro-USB,Yes,Glass,195,8.5,Medium
SAM-691,Samsung,Android 11,5.95,5800,3,32,104,25,Kirin,90,5G,Yes,Yes,No,1 Year,AMOLED,Type-C,Yes,Metal,133,8.5,Medium
OPP-191,Oppo,Android 12,5.99,4100,4,512,32,35,MediaTek,144,4G,No,Yes,Yes,1 Year,AMOLED,Lightning,No,Metal,125,7.7,High
APP-446,Apple,Android 10,6.43,3500,12,128,28,15,Snapdragon,144,5G,No,Yes,Yes,No Warranty,AMOLED,Type-C,No,Plastic,171,8.4,Medium
SAM-398,Samsung,iOS 14,6.64,3700,2,32,8,10,Exynos,144,5G,No,Yes,No,2 Years,AMOLED,Lightning,No,Metal,155,7.9,Very High
APP-781,Apple,iOS 14,6.13,3300,3,128,76,30,Exynos,144,4G,No,Yes,No,1 Year,LCD,Lightning,Yes,Metal,163,8.8,Low
APP-138,Apple,Android 12,5.64,4900,8,128,92,20,Exynos,90,4G,Yes,Yes,No,2 Years,AMOLED,Lightning,Yes,Plastic,154,7.6,Low
INF-928,Infinix,Android 11,6.26,4600,3,128,16,5,MediaTek,60,5G,Yes,No,Yes,1 Year,IPS,Micro-USB,No,Metal,200,9.0,Medium
SAM-973,Samsung,Android 10,5.41,4600,2,64,80,20,Snapdragon,144,4G,Yes,No,No,No Warranty,OLED,Micro-USB,Yes,Plastic,128,9.5,Low
HUA-308,Huawei,Android 10,5.61,4700,3,128,44,15,MediaTek,90,5G,No,Yes,No,2 Years,OLED,Micro-USB,No,Plastic,126,6.9,Very High
APP-906,Apple,Android 12,6.89,5500,3,32,88,15,Apple Bionic,60,4G,No,Yes,Yes,2 Years,OLED,Micro-USB,Yes,Metal,128,9.2,High
SAM-826,Samsung,iOS 15,5.38,4600,3,32,64,25,MediaTek,60,5G,Yes,No,No,1 Year,IPS,Type-C,No,Glass,239,9.3,Low
XIA-543,Xiaomi,iOS 14,6.46,3300,6,32,40,15,Snapdragon,60,5G,Yes,Yes,Yes,No Warranty,AMOLED,Type-C,No,Metal,158,7.6,High
OPP-622,Oppo,Android 10,6.88,5000,3,256,48,40,Exynos,60,4G,No,Yes,Yes,2 Years,OLED,Micro-USB,Yes,Glass,125,9.3,Medium
OPP-164,Oppo,Android 11,6.6,4800,12,64,60,15,MediaTek,120,4G,No,No,No,No Warranty,AMOLED,Lightning,No,Plastic,143,9.1,High
HUA-568,Huawei,iOS 14,5.22,3300,6,64,68,35,MediaTek,90,5G,No,No,Yes,2 Years,LCD,Lightning,No,Plastic,137,6.8,Medium
SAM-585,Samsung,iOS 14,5.33,6000,3,32,88,30,MediaTek,60,5G,Yes,No,No,1 Year,AMOLED,Lightning,Yes,Metal,220,8.2,Medium
HUA-341,Huawei,Android 10,6.44,4500,12,512,32,35,Kirin,60,5G,Yes,Yes,No,No Warranty,OLED,Type-C,No,Metal,160,9.0,Low
INF-306,Infinix,Android 11,5.41,3300,6,512,100,25,Apple Bionic,90,4G,No,No,Yes,2 Years,IPS,Micro-USB,No,Glass,191,7.2,Very High
VIV-398,Vivo,Android 12,6.42,3200,3,32,68,5,MediaTek,90,4G,Yes,Yes,No,2 Years,AMOLED,Lightning,No,Glass,157,8.3,Very High
APP-606,Apple,Android 11,5.9,4700,6,512,48,35,Apple Bionic,60,4G,No,Yes,Yes,2 Years,OLED,Micro-USB,Yes,Plastic,233,8.9,Low
HUA-996,Huawei,iOS 14,5.12,3500,8,128,44,15,MediaTek,90,4G,No,No,Yes,No Warranty,OLED,Lightning,No,Glass,204,8.7,High
XIA-671,Xiaomi,iOS 14,5.84,3500,8,256,76,35,Apple Bionic,60,5G,Yes,Yes,No,1 Year,OLED,Type-C,No,Metal,173,8.9,Very High
HUA-480,Huawei,Android 10,6.88,4200,12,256,40,5,Kirin,60,5G,Yes,No,Yes,2 Years,LCD,Type-C,No,Plastic,226,8.4,Low
XIA-222,Xiaomi,Android 11,5.5,4600,6,128,40,35,MediaTek,120,5G,No,No,Yes,1 Year,LCD,Lightning,No,Metal,185,7.4,High
VIV-467,Vivo,Android 10,6.45,3400,6,128,60,5,Snapdragon,120,4G,No,No,Yes,2 Years,IPS,Micro-USB,Yes,Plastic,226,7.7,High
TEC-960,Tecno,Android 11,5.28,3400,12,256,32,5,Snapdragon,144,5G,No,Yes,No,No Warranty,LCD,Micro-USB,No,Metal,228,7.8,Low
INF-155,Infinix,Android 11,6.66,4200,8,256,28,35,Apple Bionic,144,4G,Yes,No,Yes,2 Years,OLED,Micro-USB,No,Glass,204,8.2,Medium
VIV-122,Vivo,iOS 15,5.96,4600,8,128,40,10,Apple Bionic,90,4G,No,No,Yes,2 Years,IPS,Type-C,No,Metal,132,7.4,Low
XIA-751,Xiaomi,Android 10,5.37,3100,4,32,16,15,Snapdragon,60,5G,No,No,No,1 Year,AMOLED,Lightning,Yes,Glass,170,9.2,High
VIV-927,Vivo,iOS 14,5.04,3300,4,512,36,25,Exynos,90,5G,No,No,No,2 Years,OLED,Lightning,Yes,Metal,209,8.2,High
REA-429,Realme,Android 11,6.52,5300,12,256,108,35,Snapdragon,120,4G,Yes,No,No,2 Years,IPS,Lightning,Yes,Metal,216,9.5,Low
OPP-528,Oppo,Android 12,5.29,3200,6,256,28,40,Exynos,120,4G,No,Yes,Yes,No Warranty,OLED,Micro-USB,Yes,Glass,240,9.4,Medium
HUA-689,Huawei,iOS 14,5.51,3400,2,512,104,25,Apple Bionic,60,4G,No,No,Yes,2 Years,AMOLED,Micro-USB,No,Glass,222,7.7,High
SAM-532,Samsung,Android 11,5.47,3400,4,256,44,5,Exynos,60,4G,No,Yes,Yes,No Warranty,LCD,Micro-USB,Yes,Glass,218,8.2,Medium
XIA-562,Xiaomi,Android 12,6.54,5100,6,512,76,10,Kirin,120,5G,Yes,No,No,1 Year,IPS,Micro-USB,No,Metal,192,9.5,Medium
OPP-362,Oppo,Android 11,6.56,4300,2,128,80,35,Apple Bionic,144,5G,Yes,Yes,Yes,1 Year,IPS,Micro-USB,Yes,Metal,191,8.0,High
APP-970,Apple,Android 12,5.62,4700,6,64,88,30,MediaTek,120,4G,No,Yes,Yes,No Warranty,OLED,Type-C,Yes,Plastic,192,8.4,Low
INF-899,Infinix,Android 12,6.05,4000,2,32,108,15,Snapdragon,90,4G,No,No,Yes,1 Year,LCD,Lightning,No,Glass,120,7.7,Very High
APP-229,Apple,iOS 15,5.11,6000,8,32,24,30,Kirin,90,4G,Yes,No,No,No Warranty,IPS,Lightning,No,Metal,178,8.7,Medium
TEC-943,Tecno,iOS 14,6.73,3100,2,64,20,20,Exynos,90,4G,No,No,Yes,1 Year,OLED,Lightning,Yes,Plastic,226,9.2,Medium
INF-922,Infinix,Android 12,5.57,5500,4,512,108,25,Exynos,120,5G,Yes,Yes,No,No Warranty,OLED,Type-C,Yes,Plastic,124,7.4,Very High
XIA-916,Xiaomi,Android 12,6.26,3500,8,512,44,15,Exynos,120,4G,No,Yes,No,2 Years,AMOLED,Lightning,Yes,Glass,206,7.6,Very High
INF-379,Infinix,Android 12,6.19,5800,2,32,96,5,Apple Bionic,144,5G,No,Yes,No,No Warranty,OLED,Type-C,No,Plastic,129,8.7,Medium
OPP-613,Oppo,Android 10,5.45,5600,3,32,60,25,Snapdragon,90,5G,Yes,No,Yes,No Warranty,IPS,Type-C,Yes,Metal,147,7.0,Low
VIV-547,Vivo,Android 12,6.44,3400,3,256,28,20,Exynos,60,5G,Yes,Yes,Yes,No Warranty,AMOLED,Lightning,No,Plastic,144,8.6,High
APP-297,Apple,iOS 15,6.77,4300,12,32,92,30,Snapdragon,60,5G,No,Yes,Yes,1 Year,OLED,Type-C,No,Glass,222,6.6,Very High
TEC-474,Tecno,Android 10,5.26,6000,4,512,44,35,Exynos,120,4G,Yes,No,No,2 Years,AMOLED,Type-C,Yes,Plastic,153,8.8,High
APP-776,Apple,iOS 14,5.66,5300,4,32,16,40,Exynos,144,5G,Yes,No,Yes,No Warranty,LCD,Lightning,No,Metal,205,7.9,High
TEC-881,Tecno,iOS 14,6.06,3200,6,32,28,40,Kirin,60,5G,No,No,Yes,No Warranty,LCD,Type-C,No,Glass,137,7.5,Medium
REA-321,Realme,Android 12,6.33,4000,8,256,40,10,Snapdragon,90,5G,No,Yes,Yes,2 Years,AMOLED,Micro-USB,Yes,Metal,124,9.3,Medium
APP-377,Apple,iOS 15,6.85,3700,6,32,80,25,Snapdragon,144,5G,No,No,Yes,2 Years,LCD,Lightning,Yes,Metal,209,6.8,High
VIV-761,Vivo,Android 11,5.94,3400,6,128,24,10,Exynos,144,4G,Yes,Yes,No,1 Year,OLED,Micro-USB,Yes,Metal,151,9.3,Low
INF-548,Infinix,iOS 14,5.0,4300,8,64,100,30,Apple Bionic,90,5G,Yes,Yes,No,1 Year,LCD,Lightning,No,Plastic,219,7.1,Very High
APP-804,Apple,iOS 14,6.1,3500,8,64,68,25,Exynos,60,4G,No,Yes,Yes,No Warranty,IPS,Type-C,No,Metal,198,7.2,High
HUA-749,Huawei,iOS 14,5.73,3000,2,512,96,5,Apple Bionic,60,5G,Yes,No,Yes,No Warranty,IPS,Lightning,Yes,Glass,154,7.0,Very High
XIA-621,Xiaomi,iOS 15,5.85,3800,12,256,16,5,MediaTek,90,5G,No,No,Yes,No Warranty,LCD,Micro-USB,No,Glass,139,6.6,High
INF-460,Infinix,iOS 15,5.42,4700,6,512,108,20,MediaTek,60,5G,Yes,Yes,No,No Warranty,AMOLED,Lightning,Yes,Plastic,123,6.7,Very High
HUA-993,Huawei,Android 11,6.66,4900,8,256,88,40,Exynos,144,4G,Yes,Yes,No,2 Years,AMOLED,Type-C,Yes,Metal,201,7.1,Medium
XIA-678,Xiaomi,Android 10,5.58,3300,3,64,28,15,Snapdragon,120,5G,No,No,Yes,1 Year,AMOLED,Type-C,Yes,Glass,172,7.3,Very High
SAM-763,Samsung,Android 12,5.94,3000,6,32,36,40,Kirin,60,4G,Yes,No,No,2 Years,IPS,Lightning,Yes,Plastic,239,8.6,Medium
SAM-668,Samsung,Android 12,6.37,4300,4,32,68,30,Kirin,120,5G,Yes,No,No,No Warranty,IPS,Lightning,Yes,Metal,199,8.0,High
OPP-867,Oppo,iOS 15,5.04,4400,12,32,24,40,MediaTek,144,4G,No,Yes,No,1 Year,AMOLED,Type-C,No,Glass,158,7.4,Medium
INF-459,Infinix,iOS 14,6.79,3400,4,64,52,25,Kirin,60,5G,No,No,No,2 Years,OLED,Micro-USB,No,Glass,236,7.6,Medium
TEC-604,Tecno,iOS 15,5.39,3200,12,128,76,25,Apple Bionic,60,4G,No,Yes,Yes,1 Year,OLED,Micro-USB,No,Plastic,177,8.0,Low
XIA-500,Xiaomi,Android 12,5.1,6000,8,128,28,5,Apple Bionic,120,5G,No,No,No,1 Year,AMOLED,Micro-USB,No,Metal,141,8.4,Very High
HUA-892,Huawei,Android 10,5.09,4100,3,512,88,40,Apple Bionic,144,4G,No,Yes,Yes,2 Years,AMOLED,Lightning,Yes,Plastic,175,8.8,Medium
TEC-649,Tecno,Android 10,6.43,3500,8,32,68,15,MediaTek,144,4G,Yes,No,Yes,No Warranty,IPS,Lightning,No,Metal,214,8.8,Very High
HUA-298,Huawei,Android 12,5.24,3100,3,512,92,25,Apple Bionic,60,5G,Yes,No,Yes,1 Year,LCD,Type-C,No,Glass,136,8.9,High
XIA-968,Xiaomi,iOS 15,6.52,5700,4,64,56,40,MediaTek,120,4G,No,Yes,Yes,No Warranty,OLED,Micro-USB,No,Metal,143,8.4,Low
SAM-976,Samsung,iOS 14,5.35,5600,6,128,88,30,Exynos,144,5G,No,Yes,No,1 Year,IPS,Lightning,Yes,Plastic,138,7.8,Very High
TEC-657,Tecno,iOS 15,5.95,3000,6,128,68,40,Kirin,120,4G,No,Yes,No,No Warranty,LCD,Type-C,Yes,Plastic,198,8.8,Medium
HUA-328,Huawei,iOS 15,6.96,3100,8,256,80,5,Exynos,120,5G,Yes,Yes,No,No Warranty,AMOLED,Micro-USB,Yes,Glass,187,8.3,Medium
VIV-576,Vivo,Android 11,6.11,5500,12,512,20,5,Snapdragon,90,5G,Yes,Yes,Yes,1 Year,AMOLED,Type-C,Yes,Glass,145,6.9,High
REA-883,Realme,Android 10,6.39,3300,12,32,56,10,Apple Bionic,120,5G,No,Yes,No,1 Year,IPS,Micro-USB,Yes,Glass,139,8.1,High
OPP-235,Oppo,Android 10,5.2,3400,2,32,60,25,MediaTek,120,4G,Yes,No,Yes,2 Years,IPS,Lightning,Yes,Plastic,156,9.2,Low
VIV-633,Vivo,Android 11,5.58,5300,8,32,64,10,MediaTek,144,4G,Yes,Yes,Yes,2 Years,LCD,Lightning,No,Glass,161,7.5,Low
XIA-722,Xiaomi,iOS 15,5.06,5400,6,128,92,10,Exynos,90,4G,No,No,Yes,No Warranty,IPS,Lightning,Yes,Metal,184,6.6,Very High
VIV-948,Vivo,Android 11,5.62,3300,2,512,80,15,MediaTek,90,5G,No,No,No,1 Year,LCD,Micro-USB,No,Plastic,228,8.5,High
SAM-105,Samsung,Android 12,6.83,4500,2,256,88,15,Exynos,120,5G,Yes,No,No,2 Years,OLED,Type-C,No,Plastic,160,9.4,Medium
TEC-210,Tecno,Android 11,6.63,4900,6,64,84,25,Exynos,120,4G,Yes,No,Yes,1 Year,IPS,Micro-USB,No,Metal,189,7.2,Medium
APP-921,Apple,Android 12,6.98,5000,3,256,48,30,MediaTek,144,4G,No,Yes,No,2 Years,OLED,Lightning,No,Metal,240,7.3,Very High
APP-931,Apple,iOS 15,5.39,4900,12,128,96,10,Apple Bionic,144,4G,No,Yes,Yes,No Warranty,IPS,Lightning,No,Metal,202,8.2,Very High
SAM-412,Samsung,Android 12,6.98,5000,8,128,44,15,Kirin,60,4G,No,Yes,No,1 Year,AMOLED,Type-C,No,Metal,169,6.5,Low
XIA-720,Xiaomi,iOS 14,6.77,5600,6,32,12,15,Snapdragon,144,5G,No,No,No,2 Years,OLED,Type-C,Yes,Glass,189,9.1,Low
XIA-112,Xiaomi,Android 11,5.2,5600,8,128,76,15,Kirin,144,4G,No,Yes,No,2 Years,LCD,Type-C,Yes,Plastic,150,8.4,High
SAM-512,Samsung,Android 12,5.45,4300,2,256,68,10,Apple Bionic,60,4G,Yes,Yes,No,No Warranty,AMOLED,Micro-USB,No,Metal,230,7.7,High
XIA-103,Xiaomi,Android 10,5.03,3700,2,128,16,10,Apple Bionic,90,5G,No,No,Yes,2 Years,IPS,Micro-USB,Yes,Glass,122,7.1,Very High
SAM-467,Samsung,iOS 15,5.94,5600,8,512,76,5,Snapdragon,120,4G,Yes,Yes,No,2 Years,AMOLED,Lightning,Yes,Metal,151,7.2,Very High
TEC-710,Tecno,Android 12,5.19,3000,12,32,92,5,Snapdragon,90,5G,Yes,No,Yes,No Warranty,AMOLED,Type-C,Yes,Glass,141,7.2,Low
OPP-674,Oppo,iOS 15,5.58,3200,12,64,100,15,Snapdragon,120,5G,Yes,Yes,Yes,No Warranty,AMOLED,Micro-USB,Yes,Plastic,214,8.7,Very High
REA-593,Realme,Android 10,5.82,3800,3,64,24,20,Exynos,144,5G,Yes,Yes,Yes,No Warranty,AMOLED,Lightning,Yes,Metal,238,7.5,Very High
TEC-139,Tecno,Android 12,6.78,4900,4,64,104,25,Snapdragon,120,4G,No,No,Yes,No Warranty,IPS,Micro-USB,Yes,Metal,228,8.2,High
OPP-843,Oppo,iOS 15,5.23,4400,12,128,88,25,Apple Bionic,120,4G,No,Yes,Yes,No Warranty,IPS,Lightning,No,Plastic,211,7.7,Low
REA-417,Realme,Android 12,5.9,4000,8,256,20,30,Apple Bionic,120,4G,No,Yes,No,2 Years,LCD,Lightning,No,Glass,130,6.7,Low
XIA-172,Xiaomi,Android 11,6.05,5300,12,32,80,20,Apple Bionic,120,4G,No,No,No,2 Years,AMOLED,Lightning,Yes,Glass,183,9.5,Low
SAM-621,Samsung,iOS 14,6.07,5000,8,32,48,40,MediaTek,120,5G,No,No,No,No Warranty,OLED,Micro-USB,Yes,Metal,172,8.3,Medium
APP-205,Apple,Android 10,6.81,3600,2,256,108,5,Apple Bionic,90,5G,No,No,Yes,1 Year,OLED,Lightning,No,Glass,210,8.0,High
TEC-317,Tecno,iOS 14,5.67,5700,2,128,36,20,Snapdragon,90,5G,No,Yes,Yes,1 Year,IPS,Lightning,No,Glass,214,7.5,High
TEC-281,Tecno,iOS 15,6.64,4300,2,128,96,5,Kirin,120,5G,Yes,Yes,No,1 Year,LCD,Type-C,No,Metal,164,7.0,High
HUA-441,Huawei,Android 11,6.03,4200,3,256,40,40,Apple Bionic,120,4G,No,No,No,2 Years,AMOLED,Lightning,Yes,Glass,124,6.6,Medium
XIA-559,Xiaomi,iOS 15,5.43,5800,3,32,84,10,Apple Bionic,120,5G,No,No,Yes,2 Years,AMOLED,Lightning,Yes,Metal,158,9.4,Medium
INF-113,Infinix,iOS 14,5.36,5200,4,256,76,25,Snapdragon,144,5G,No,No,No,No Warranty,IPS,Micro-USB,Yes,Glass,193,9.3,High
REA-153,Realme,Android 12,6.54,4700,6,128,60,35,Exynos,90,4G,Yes,No,No,1 Year,LCD,Lightning,Yes,Plastic,166,9.1,Low
HUA-300,Huawei,Android 10,6.09,4300,8,512,44,15,MediaTek,60,4G,Yes,No,Yes,2 Years,IPS,Type-C,No,Plastic,219,6.8,Very High
VIV-196,Vivo,Android 11,5.81,4400,6,512,76,35,Snapdragon,60,5G,No,No,Yes,2 Years,IPS,Lightning,No,Metal,216,6.7,Very High
TEC-608,Tecno,iOS 14,6.56,5700,4,32,96,25,MediaTek,120,5G,No,No,No,1 Year,AMOLED,Micro-USB,No,Metal,233,8.2,Medium
REA-778,Realme,Android 11,6.95,3200,3,64,44,15,Kirin,144,5G,No,No,No,No Warranty,AMOLED,Type-C,Yes,Plastic,146,7.9,Medium
HUA-203,Huawei,Android 12,6.34,3700,3,128,40,10,Apple Bionic,120,4G,No,Yes,No,No Warranty,OLED,Micro-USB,No,Metal,222,8.7,High
VIV-707,Vivo,Android 12,6.05,4800,2,256,44,30,Snapdragon,120,4G,No,No,No,2 Years,OLED,Micro-USB,No,Metal,139,8.1,High
TEC-316,Tecno,Android 11,5.76,5000,6,128,72,10,Kirin,144,5G,Yes,No,No,2 Years,OLED,Micro-USB,No,Plastic,240,8.2,Low
